ICAO,Name,RWY_true_north(magn_north),coord,(proc;ceil;vis)
LIPS,Istrana,82(78);262(258),45.684487;12.087512,(PAR RWY08;300;1300);(SRA RWY08;500;2100);(TCN RWY08;500;2100);(CIRC TCN RWY08;600;2700);(ILS RWY26;300;800);(LOC RWY26;400;1000);(CIRC ILS RWY26;800;3300);(PAR RWY26;400;800);(TCN RWY26;500;1200);(CIRC TCN RWY26;600;2700);(SRA RWY26;500;1400)
LIPA,Aviano,48(45);228(225),,(ILS RWY05;400;1300);(LOC RWY05;300;1200);(CIRC ILS RWY05;1100;4900);(TCN RWY05;300;1600);(CIRC TCN RWY05;1100;4900);
LIPI,Rivolto,59(57);239(237),,(PAR RWY06;200;800);(TCN RWY06;500;1300);(CIRC TCN RWY06;800;3500)
LIPX,Verona Villafranca,47(43);227(223),,(ILS RWY04;300;800);(LOC RWY04;400;900);(CIRC RWY04;1000;4500)
LIPC,Cervia,116(112);296(292)
LIPL,Ghedi,135(132);315(312)
LIRP,Pisa,36(34);216(214)
LIRS,Grosseto,31(27);211(207)
LIRE,Pratica di Mare,130(127);310(307)
LIRM,Grazzanise,060(056);240(236)
LIBV,Gioia Del Colle,141(136);321(316)
LIBA,Amendola,114(110);294(290)
LIBR,Brindisi,138(134);318(314)
LICT,Trapani,128(124);308(304)